ano;mm_total
1980;1.439,10
1981;1.344,40
1982;1.264,70
1983;1.873,80
1984;1.058,10
1985;1.108,30
1986;1.823,40
1987;1.462,00
1988;1.752,70
1989;1.602,50
1990;955,1
1991;1.413,60
1992;1.375,20
1993;1.117,40
1994;1.290,10
1995;1.512,30
1996;1.434,30
1997;1.232,10
1998;1.137,20
1999;1.281,90
2000;1.236,70
2001;905,7
2002;1.045,20
2003;1.177,70
2004;1.450,10
2005;1.245,20
2006;709,8
2007;670,5
2008;647
2009;624
2010;385,7
2011;739,2
2012;1.154,20
2013;1.518,80
2014;943,2
2015;1.501,10
2016;775,8
2017;1.138,60
2018;975,4
2019;1.042,90
