treatment,life_form1,life_form2,estimates
open,tree,palm,0.052
open,tree,liana,0.127
open,tree,herb,0.131
open,tree,bamboo,0.077
closed,tree,palm,0.052
closed,tree,liana,0.064
closed,tree,herb,0.131
closed,tree,bamboo,-0.016
open,palm,liana,0.177
open,palm,shrub,0.064
open,palm,herb,0.088
open,palm,bamboo,0.526
closed,palm,liana,0.061
closed,palm,shrub,-0.073
closed,palm,herb,-0.207
closed,palm,bamboo,0.074
open,liana,herb,0.454
open,liana,bamboo,0.499
closed,liana,shrub,-0.274
closed,liana,herb,0.194
closed,liana,bamboo,0.499
open,shrub,bamboo,0.31
closed,shrub,herb,-0.256
closed,shrub,bamboo,-0.411
closed,herb,bamboo,0.269
